"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1831",592662,"Ray, Robbie","1889","96.9","0.191","0.167","0.252","0.358","0.265","0.276","0.201","80","419","89.3","21.1","2233","92.0","92.09","304","975","856","0.1","6.43","107","154","120","147","299","319","290"
"1724",554430,"Wheeler, Zack","1786","96.5","0.228","0.110","0.299","0.338","0.268","0.272","0.232","97","426","83.3","5.3","2387","93.6","95.22","230","908","816","1.6","7.17","111","152","111","149","293","321","293"
"1677",605397,"Musgrove, Joe","1716","97.7","0.236","0.155","0.291","0.391","0.306","0.311","0.240","88","373","87.1","10.8","2730","87.3","86.34","220","770","907","-1.0","5.93","113","151","133","142","299","322","310"
"1665",621111,"Buehler, Walker","1804","92.3","0.210","0.139","0.270","0.349","0.273","0.270","0.214","80","381","87.3","10.8","2474","90.9","90.99","207","801","864","0.1","6.34","113","156","115","151","297","317","295"
"1663",543475,"Lyles, Jordan","1786","93.1","0.266","0.212","0.290","0.478","0.342","0.348","0.270","103","387","87.9","14.7","2388","88.0","88.69","190","816","847","0.7","6.74","114","157","124","147","303","326","296"
"1623",450203,"Morton, Charlie","1753","92.6","0.186","0.111","0.252","0.297","0.248","0.262","0.196","70","377","87.1","6.2","2623","88.9","88.73","212","763","860","-0.2","6.28","110","152","130","142","301","322","295"
"1595",425794,"Wainwright, Adam","1718","92.8","0.218","0.119","0.256","0.337","0.263","0.307","0.263","90","412","88.0","11.4","2482","82.1","81.69","133","732","863","-0.4","6.43","117","158","116","148","298","321","298"
"1583",656302,"Cease, Dylan","1685","93.9","0.214","0.164","0.299","0.378","0.293","0.287","0.205","73","341","89.1","16.9","2652","90.5","90.03","249","744","839","-0.5","6.03","111","153","111","149","300","322","299"
"1568",608331,"Fried, Max","1610","97.4","0.210","0.118","0.263","0.328","0.254","0.266","0.223","82","390","85.8","5.0","2317","86.5","86.50","188","775","793","0.0","6.31","106","152","120","147","304","322","290"
"1551",641816,"Mahle, Tyler","1905","81.4","0.267","0.213","0.337","0.480","0.360","0.336","0.245","79","296","86.7","13.3","2331","91.3","91.93","184","669","882","0.6","6.59","113","153","116","147","291","318","287"
"1541",621121,"McCullers Jr., Lance","1729","89.1","0.227","0.129","0.312","0.356","0.300","0.277","0.205","79","348","88.4","5.0","2586","88.6","87.81","193","666","875","-0.8","5.92","112","155","118","151","289","317","288"
"1512",623167,"Flexen, Chris","1748","86.5","0.279","0.156","0.315","0.434","0.330","0.331","0.268","102","366","89.6","12.1","2288","88.9","88.43","138","744","768","-0.5","5.97","111","155","113","148","295","317","293"
"1502",571578,"Corbin, Patrick","1549","97.0","0.290","0.247","0.317","0.537","0.371","0.350","0.274","107","369","86.9","8.4","2149","88.1","88.86","182","732","770","0.8","6.67","108","151","116","145","302","323","289"
"1490",502043,"Gibson, Kyle","1711","87.1","0.247","0.140","0.301","0.387","0.314","0.313","0.242","85","344","88.5","5.9","2287","88.8","89.48","150","659","831","0.7","6.66","111","151","117","147","297","325","294"
"1469",621244,"Berríos, José","1717","85.6","0.236","0.171","0.297","0.407","0.304","0.314","0.243","83","351","88.4","12.7","2207","89.8","89.55","156","684","785","-0.3","6.37","109","155","124","148","297","324","296"
"1466",608566,"Márquez, Germán","1498","97.9","0.240","0.175","0.282","0.415","0.302","0.315","0.259","89","371","89.6","5.0","2272","90.7","89.52","177","707","759","-1.2","5.34","112","153","119","148","297","328","304"
"1438",607200,"Fedde, Erick","1571","91.5","0.312","0.227","0.358","0.539","0.379","0.351","0.276","99","317","89.4","7.2","2045","88.4","89.12","153","663","774","0.7","6.68","110","154","119","144","299","322","294"
"1430",615698,"Quantrill, Cal","1660","86.1","0.223","0.161","0.257","0.384","0.294","0.306","0.234","76","341","87.8","14.7","2158","91.1","91.68","145","653","777","0.6","6.45","112","154","118","150","290","314","292"
"1413",592351,"Gray, Jon","1495","94.5","0.246","0.174","0.328","0.421","0.321","0.303","0.228","79","321","89.9","13.0","2302","90.4","90.83","192","670","743","0.4","6.43","112","151","120","149","295","328","304"
"1411",664285,"Valdez, Framber","1615","87.4","0.224","0.100","0.283","0.324","0.299","0.317","0.233","74","330","91.3","-6.5","2414","87.1","86.06","139","569","842","-1.0","5.87","108","154","115","149","292","320","289"
"1395",506433,"Darvish, Yu","1461","95.5","0.242","0.259","0.283","0.502","0.334","0.296","0.214","72","297","88.2","14.3","2624","87.3","87.08","182","663","732","-0.2","6.20","115","153","137","141","298","321","311"
"1393",669302,"Gilbert, Logan","1525","91.3","0.240","0.170","0.295","0.410","0.298","0.309","0.246","76","317","89.4","19.8","2229","91.4","93.26","194","743","650","1.9","7.37","111","154","115","148","294","322","293"
"1388",448179,"Hill, Rich","1434","96.8","0.264","0.174","0.308","0.438","0.340","0.327","0.242","85","322","86.4","19.9","2470","79.7","78.95","136","648","740","-0.7","6.14","105","154","112","147","300","321","295"
"1378",543037,"Cole, Gerrit","1590","86.7","0.235","0.170","0.320","0.405","0.294","0.298","0.219","69","294","88.9","14.0","2487","93.1","93.24","213","663","715","0.1","6.49","112","152","118","147","293","325","291"
"1367",457918,"Happ, J.A.","1577","86.7","0.283","0.225","0.315","0.508","0.364","0.371","0.285","87","307","90.7","16.2","2187","89.4","89.20","125","644","723","-0.2","6.09","109","156","118","148","299","324","295"
"1367",453286,"Scherzer, Max","1623","84.2","0.195","0.169","0.264","0.364","0.266","0.275","0.204","59","302","86.8","19.4","2389","89.9","89.72","237","700","667","-0.2","6.21","112","156","116","148","296","319","292"
"1355",543135,"Eovaldi, Nathan","1571","86.3","0.259","0.176","0.324","0.435","0.310","0.278","0.227","84","324","87.2","16.3","2110","90.0","90.76","183","691","664","0.8","6.77","111","155","117","150","291","327","296"
"1354",645261,"Alcantara, Sandy","1708","79.3","0.198","0.139","0.232","0.336","0.252","0.285","0.234","64","324","86.6","3.3","2266","95.3","94.39","187","717","637","-0.9","5.90","109","150","115","149","301","316","284"
"1349",669203,"Burnes, Corbin","1508","89.5","0.194","0.067","0.280","0.261","0.226","0.225","0.186","64","330","84.3","9.0","2745","91.3","91.73","231","674","675","0.4","6.38","110","152","117","147","297","321","296"
"1343",601713,"Pivetta, Nick","1401","95.9","0.237","0.176","0.292","0.414","0.309","0.282","0.213","70","295","89.6","17.0","2400","88.6","88.99","156","648","695","0.4","6.63","111","156","117","150","293","329","300"
"1343",543243,"Gray, Sonny","1380","97.3","0.221","0.159","0.274","0.380","0.298","0.266","0.200","68","308","85.7","7.3","2451","86.9","87.08","144","585","758","0.2","6.49","114","153","117","148","292","320","290"
"1337",668678,"Gallen, Zac","1592","84.0","0.242","0.199","0.296","0.441","0.320","0.312","0.239","72","297","88.6","13.9","2332","90.2","90.73","117","584","753","0.5","6.68","111","153","118","150","295","325","294"
"1307",605400,"Nola, Aaron","1591","82.1","0.232","0.185","0.310","0.417","0.292","0.253","0.200","70","302","89.1","18.1","2336","88.1","88.75","158","619","688","0.6","6.85","111","151","113","149","296","323","292"
"1298",666201,"Manoah, Alek","1431","90.7","0.191","0.081","0.266","0.272","0.263","0.271","0.193","54","283","86.6","17.4","2253","89.4","89.60","198","627","671","0.2","6.57","108","153","122","148","297","321","295"
"1285",502179,"Espino, Paolo","1349","95.3","0.272","0.207","0.309","0.479","0.335","0.330","0.265","83","305","87.0","17.6","2498","82.3","82.42","128","585","700","0.1","6.49","109","155","122","144","299","322","294"
"1275",628711,"Urías, Julio","1566","81.4","0.207","0.138","0.265","0.345","0.265","0.254","0.190","60","290","84.3","19.8","2658","88.4","87.48","132","618","657","-0.9","5.62","110","155","113","150","300","315","290"
"1275",622491,"Castillo, Luis","1807","70.6","0.272","0.189","0.337","0.460","0.345","0.312","0.243","72","265","87.6","2.6","2291","94.9","93.79","164","598","677","-1.1","5.57","115","152","116","146","291","320","289"
"1271",607536,"Freeland, Kyle","1496","85.0","0.243","0.141","0.305","0.384","0.295","0.272","0.220","81","333","86.7","12.2","2363","87.1","87.83","143","615","656","0.7","6.50","109","152","121","146","298","326","301"
