"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1555",545333,"Bauer, Trevor","1587","98.0","0.169","0.172","0.208","0.341","0.257","0.278","0.189","56","331","89.3","19.6","2867","87.9","81.37","207","708","847","-6.5","6.42","113","159","117","150","298","318","292"
"1406",669456,"Bieber, Shane","1475","95.3","0.234","0.147","0.349","0.380","0.301","0.295","0.221","78","334","90.1","9.9","2466","87.6","87.47","254","677","729","-0.1","6.54","112","155","118","149","294","322","295"
"1359",554430,"Wheeler, Zack","1419","95.8","0.201","0.096","0.282","0.296","0.244","0.249","0.200","67","334","84.2","10.9","2374","94.2","94.70","197","704","655","0.5","7.13","111","152","116","149","297","324","293"
"1340",506433,"Darvish, Yu","1407","95.2","0.189","0.156","0.240","0.346","0.263","0.275","0.205","57","301","86.8","18.8","2714","86.6","86.41","172","631","709","-0.2","6.27","116","155","132","145","297","320","311"
"1336",621111,"Buehler, Walker","1348","99.1","0.197","0.134","0.233","0.331","0.252","0.293","0.233","63","320","86.4","11.6","2730","91.3","91.54","173","668","668","0.2","6.43","113","157","118","151","299","320","295"
"1327",601713,"Pivetta, Nick","1344","98.7","0.226","0.179","0.293","0.405","0.314","0.314","0.225","62","274","89.1","15.5","2403","89.1","89.19","156","633","694","0.1","6.50","111","155","118","148","288","325","299"
"1312",477132,"Kershaw, Clayton","1313","99.9","0.222","0.135","0.294","0.356","0.268","0.279","0.226","74","334","86.8","9.8","2605","86.7","86.48","222","671","641","-0.2","6.29","108","157","115","149","300","315","292"
"1305",607192,"Glasnow, Tyler","1339","97.5","0.167","0.131","0.243","0.298","0.236","0.254","0.182","51","305","91.6","13.1","2618","92.0","93.42","241","641","664","1.4","7.35","107","159","118","150","302","322","294"
"1277",425794,"Wainwright, Adam","1350","94.6","0.216","0.150","0.259","0.366","0.285","0.301","0.236","66","306","87.6","7.0","2503","82.8","82.84","116","529","748","0.0","6.53","114","156","117","148","299","318","300"
"1269",572070,"Richards, Garrett","1269","100.0","0.290","0.143","0.350","0.433","0.349","0.358","0.287","85","293","92.4","9.6","2755","90.4","89.38","141","604","665","-1.0","5.95","110","154","117","148","296","328","297"
"1265",650644,"Civale, Aaron","1459","86.7","0.228","0.182","0.253","0.409","0.294","0.325","0.262","69","303","87.8","13.9","2508","87.0","86.16","121","597","668","-0.8","5.75","114","154","119","150","295","323","297"
"1264",608566,"Márquez, Germán","1290","98.0","0.235","0.113","0.304","0.348","0.298","0.305","0.239","71","302","85.8","3.4","2294","90.5","89.30","179","603","661","-1.2","5.33","111","151","116","147","301","333","304"
"1262",605135,"Bassitt, Chris","1392","90.7","0.221","0.148","0.280","0.369","0.284","0.287","0.225","70","317","88.4","11.6","2203","89.1","89.05","153","617","645","-0.1","6.35","113","149","120","153","300","327","301"
"1220",641816,"Mahle, Tyler","1384","88.2","0.223","0.160","0.302","0.382","0.299","0.293","0.224","53","238","88.7","16.0","2491","91.4","91.44","151","544","676","0.0","6.60","112","154","117","148","298","319","293"
"1219",641745,"Keller, Brad","1301","93.7","0.307","0.181","0.358","0.487","0.368","0.388","0.305","85","277","91.0","7.7","2355","91.5","90.63","118","569","650","-0.9","5.86","107","157","116","145","296","322","304"
"1205",450203,"Morton, Charlie","1234","97.6","0.230","0.093","0.299","0.322","0.286","0.308","0.240","62","270","87.2","7.6","2550","88.9","88.68","159","549","656","-0.2","6.28","108","151","123","148","302","321","294"
